System	Baseline	Meridian	Longitude	Latitude
3	1	1	97.459444	49.0005
3	2	1	97.459083	49.354583
3	3	1	97.458889	49.709389
3	4	1	97.459222	50.063667
3	5	1	97.459611	50.418333
3	6	1	97.462333	50.772861
3	7	1	97.461889	51.126611
3	8	1	97.462028	51.45
3	9	1	97.462028	51.799333
3	10	1	97.462028	52.148667
3	11	1	97.462056	52.497944
3	12	1	97.462083	52.847222
3	13	1	97.462083	53.191139
3	14	1	97.462111	53.545694
3	15	1	97.462139	53.889528
3	16	1	97.462167	54.238722
3	17	1	97.462194	54.587889
3	18	1	97.462222	54.937028
3	19	1	97.462222	55.286111
3	20	1	97.462194	55.635139
3	21	1	97.462222	55.984167
3	22	1	97.46225	56.333167
3	23	1	97.462278	56.682139
3	24	1	97.462278	57.031167
3	25	1	97.462278	57.381389
3	26	1	97.462278	57.730278
3	27	1	97.462278	58.079167
3	28	1	97.462278	58.428056
3	29	1	97.462278	58.776944
3	30	1	97.462278	59.125833
3	31	1	97.462278	59.474722
3	32	1	97.462278	59.823611
3	33	1	97.462278	60.1725
3	1	2	102.006111	48.998889
3	2	2	102.006028	49.348111
3	3	2	102.006056	49.697139
3	4	2	102.005917	50.047167
3	5	2	102.005806	50.396778
3	6	2	102.005861	50.746667
3	7	2	102.005889	51.095833
3	8	2	102.005861	51.445278
3	9	2	102.006083	51.794583
3	10	2	102.006417	52.143694
3	11	2	102.006444	52.492944
3	12	2	102.0065	52.842194
3	13	2	102.006528	53.191056
3	14	2	102.006583	53.54025
3	15	2	102.006583	53.889417
3	16	2	102.006528	54.238639
3	17	2	102.006972	54.587778
3	18	2	102.00675	54.936833
3	19	2	102.006778	55.286028
3	20	2	102.006861	55.634778
3	21	2	102.006944	55.983806
3	22	2	102.007028	56.332833
3	23	2	102.006944	56.683333
3	24	2	102.006944	57.032222
3	25	2	102.006944	57.381389
3	26	2	102.006944	57.730278
3	27	2	102.006944	58.079167
3	28	2	102.006944	58.428056
3	29	2	102.006944	58.776944
3	30	2	102.006944	59.125833
3	31	2	102.006944	59.474722
3	32	2	102.006944	59.823611
3	33	2	102.006944	60.1725
3	1	3	106.004833	48.999444
3	2	3	106.004778	49.348917
3	3	3	106.004694	49.698306
3	4	3	106.004389	50.047778
3	5	3	106.004194	50.39725
3	6	3	106.004028	50.746667
3	7	3	106.003944	51.096028
3	8	3	106.003806	51.445444
3	9	3	106.003694	51.794361
3	10	3	106.003722	52.143583
3	11	3	106.003778	52.492861
3	12	3	106.00375	52.841944
3	13	3	106.003611	53.190583
3	14	3	106.003611	53.539639
3	15	3	106.003611	53.888806
3	16	3	106.003611	54.237944
3	17	3	106.003389	54.587056
3	18	3	106.003389	54.936167
3	19	3	106.003417	55.28525
3	20	3	106.003389	55.635
3	21	3	106.003389	55.984444
3	22	3	106.003389	56.333333
3	23	3	106.003389	56.683333
3	24	3	106.003389	57.031667
3	25	3	106.003389	57.381111
3	26	3	106.003389	57.73
3	27	3	106.003389	58.078611
3	28	3	106.003389	58.427778
3	29	3	106.003389	58.776667
3	30	3	106.003389	59.125556
3	31	3	106.003389	59.474722
3	32	3	106.003389	59.823611
3	33	3	106.003389	60.1725
3	1	4	110.00425	48.999611
3	2	4	110.00425	49.348944
3	3	4	110.004278	49.698306
3	4	4	110.004194	50.047667
3	5	4	110.00425	50.397111
3	6	4	110.004333	50.746417
3	7	4	110.004389	51.09575
3	8	4	110.004389	51.445056
3	9	4	110.00425	51.794306
3	10	4	110.004333	52.142861
3	11	4	110.004361	52.492139
3	12	4	110.005028	52.841333
3	13	4	110.004917	53.190528
3	14	4	110.004833	53.540611
3	15	4	110.004833	53.889333
3	16	4	110.004778	54.238528
3	17	4	110.004889	54.587667
3	18	4	110.004917	54.93675
3	19	4	110.004944	55.286278
3	20	4	110.004972	55.635389
3	21	4	110.005	55.984472
3	22	4	110.005028	56.333556
3	23	4	110.005056	56.682639
3	24	4	110.005083	57.030833
3	25	4	110.005139	57.380667
3	26	4	110.005139	57.729639
3	27	4	110.005139	58.078583
3	28	4	110.005167	58.4275
3	29	4	110.005194	58.776361
3	30	4	110.005194	59.125556
3	31	4	110.005194	59.474722
3	32	4	110.005194	59.823611
3	33	5	110.005194	60.1725
3	1	5	114.000278	48.999611
3	2	5	114.000278	49.348917
3	3	5	114.000472	49.698611
3	4	5	114.000861	50.048278
3	5	5	114.000833	50.397111
3	6	5	114.000944	50.7465
3	7	5	114.000833	51.095889
3	8	5	114.000833	51.445417
3	9	5	114.000861	51.794889
3	10	5	114.000861	52.14425
3	11	5	114.000861	52.493917
3	12	5	114.000861	52.843278
3	13	5	114.000972	53.192194
3	14	5	114.000972	53.541028
3	15	5	114.000972	53.890167
3	16	5	114.001	54.239361
3	17	5	114.001028	54.588528
3	18	5	114.001028	54.937639
3	19	5	114.001028	55.286639
3	20	5	114.001028	55.635722
3	21	5	114.001	55.984778
3	22	5	114.001	56.333806
3	23	5	114.000972	56.682833
3	24	5	114.001	57.032139
3	25	5	114.001	57.381222
3	26	5	114.000833	57.730222
3	27	5	114.000778	58.079222
3	28	5	114.00075	58.427639
3	29	5	114.000722	58.776556
3	30	5	114.000722	59.125361
3	31	5	114.000722	59.474167
3	32	5	114.000722	59.823611
3	33	5	114.000722	60.1725
3	1	6	117.9992751	48.99938875
3	2	6	117.9992751	49.34872225
3	3	6	117.9992751	49.6980905
3	4	6	117.9992751	50.04685995
3	5	6	117.9992751	50.3970625
3	6	6	117.9992751	50.74656275
3	7	6	117.9992751	51.095875
3	8	6	117.9992751	51.44529875
3	9	6	117.9992751	51.79453475
3	10	6	117.9992751	52.143597
3	11	6	117.9992751	52.49296525
3	12	6	117.9992751	52.84218725
3	13	6	117.999028	53.192056
3	14	6	117.999028	53.541167
3	15	6	117.999028	53.89025
3	16	6	117.999083	54.239444
3	17	6	117.999083	54.58875
3	18	6	117.999139	54.937778
3	19	6	117.999194	55.286806
3	20	6	117.99925	55.635861
3	21	6	117.999444	55.985167
3	22	6	117.999306	56.334583
3	23	6	117.999333	56.683389
3	24	6	117.999333	57.031917
3	25	6	117.999361	57.380833
3	26	6	117.999361	57.729722
3	27	6	117.999361	58.078611
3	28	6	117.999389	58.427111
3	29	6	117.999389	58.775972
3	30	6	117.999417	59.124861
3	31	6	117.999417	59.47375
3	32	6	117.999417	59.822556
3	33	6	117.999417	60.171389
1	1	1	97.459444	49.0005
1	2	1	97.459083	49.354583
1	3	1	97.458889	49.709389
1	4	1	97.459222	50.063667
1	5	1	97.459611	50.418333
1	6	1	97.462333	50.772861
1	7	1	97.461889	51.126611
1	8	1	97.462028	51.48
1	9	1	97.462028	0
1	10	1	97.462028	0
1	11	1	97.462056	0
1	12	1	97.462083	0
1	13	1	97.462083	0
1	14	1	97.462111	0
1	1	2	102.006111	48.999611
1	2	2	102.006028	0
1	3	2	102.006056	0
1	4	2	102.005917	0
1	5	2	102.005806	0
1	6	2	102.005861	50.767167
1	7	2	102.005889	51.121667
1	8	2	102.005861	51.475139
1	9	2	102.006083	0
1	10	2	102.006417	0
1	11	2	102.006444	0
1	12	2	102.0065	52.889472
1	13	2	102.006528	53.2434
1	14	2	102.006583	0
1	1	3	106.004833	0
1	2	3	106.004778	0
1	3	3	106.004694	0
1	4	3	106.004389	0
1	5	3	106.004194	0
1	6	3	106.004028	0
1	7	3	106.003944	0
1	8	3	106.003806	0
1	9	3	106.003694	0
1	10	3	106.003722	0
1	11	3	106.003778	52.37094
1	12	3	106.00375	52.889472
1	13	3	106.003611	53.2434
1	14	3	106.003611	0
